"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","730669"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","987572"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 2","102788"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 2","114281"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 2","433199"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 2","552873"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 2","868604"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","172301"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","343719"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","453602"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","595035"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","717196"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","336365"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","389749"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","533201"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","654238"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 3","804528"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 4","012831"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 4","227645"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 4","457774"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 ธันวาคม 2559","435286","366 596","199 716","35","435285 435287","รางวัลที่ 4","545363"
